Module                  Size  Used by
tcp_diag               12288  0
udp_diag               12288  0
inet_diag              28672  2 tcp_diag,udp_diag
nft_chain_nat          12288  3
xt_MASQUERADE          16384  1
nf_nat                 65536  2 nft_chain_nat,xt_MASQUERADE
nf_conntrack_netlink    61440  0
xfrm_user              65536  1
xfrm_algo              16384  1 xfrm_user
br_netfilter           36864  0
bridge                389120  1 br_netfilter
stp                    12288  1 bridge
llc                    16384  2 bridge,stp
rfcomm                102400  16
cmac                   12288  2
algif_hash             12288  1
algif_skcipher         12288  1
af_alg                 32768  6 algif_hash,algif_skcipher
ip6t_REJECT            12288  1
nf_reject_ipv6         20480  1 ip6t_REJECT
xt_hl                  12288  22
ip6t_rt                16384  3
wl                   6430720  0
ipt_REJECT             12288  1
nf_reject_ipv4         16384  1 ipt_REJECT
xt_LOG                 16384  10
nf_log_syslog          24576  10
nft_limit              16384  13
qrtr                   53248  2
overlay               208896  0
xt_limit               12288  0
xt_addrtype            12288  6
bnep                   36864  2
xt_tcpudp              16384  60
xt_conntrack           12288  17
nf_conntrack          204800  4 xt_conntrack,nf_nat,nf_conntrack_netlink,xt_MASQUERADE
nf_defrag_ipv6         24576  1 nf_conntrack
snd_sof_amd_rembrandt    16384  0
nf_defrag_ipv4         12288  1 nf_conntrack
mt7921e                24576  0
snd_sof_amd_acp        61440  1 snd_sof_amd_rembrandt
nft_compat             20480  121
mt7921_common          86016  1 mt7921e
snd_sof_pci            24576  1 snd_sof_amd_rembrandt
snd_sof_xtensa_dsp     16384  1 snd_sof_amd_acp
mt792x_lib             69632  2 mt7921e,mt7921_common
mt76_connac_lib        94208  3 mt792x_lib,mt7921e,mt7921_common
nf_tables             372736  662 nft_compat,nft_chain_nat,nft_limit
snd_sof               376832  2 snd_sof_amd_acp,snd_sof_pci
snd_hda_codec_realtek   208896  1
mt76                  131072  4 mt792x_lib,mt7921e,mt7921_common,mt76_connac_lib
snd_sof_utils          16384  1 snd_sof
uvcvideo              147456  0
binfmt_misc            28672  1
nfnetlink              20480  4 nft_compat,nf_conntrack_netlink,nf_tables
snd_soc_core          417792  1 snd_sof
videobuf2_vmalloc      20480  1 uvcvideo
snd_hda_codec_generic   114688  1 snd_hda_codec_realtek
uvc                    12288  1 uvcvideo
videobuf2_memops       16384  1 videobuf2_vmalloc
mac80211             1413120  4 mt792x_lib,mt76,mt7921_common,mt76_connac_lib
snd_hda_scodec_component    20480  1 snd_hda_codec_realtek
videobuf2_v4l2         36864  1 uvcvideo
snd_compress           28672  1 snd_soc_core
snd_hda_codec_hdmi     94208  2
intel_rapl_msr         20480  0
btusb                  77824  0
amd_atl                57344  1
videodev              372736  2 videobuf2_v4l2,uvcvideo
btrtl                  32768  1 btusb
intel_rapl_common      49152  1 intel_rapl_msr
snd_pcm_dmaengine      16384  1 snd_soc_core
btintel                69632  1 btusb
edac_mce_amd           28672  0
snd_hda_intel          61440  7
snd_pci_ps             16384  0
btbcm                  24576  1 btusb
nls_cp437              16384  1
videobuf2_common       81920  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
btmtk                  32768  1 btusb
snd_rpl_pci_acp6x      16384  0
snd_intel_dspcfg       36864  2 snd_hda_intel,snd_sof
libarc4                12288  1 mac80211
asus_nb_wmi            28672  0
vfat                   24576  1
snd_intel_sdw_acpi     16384  1 snd_intel_dspcfg
kvm_amd               217088  0
snd_pci_acp6x          16384  0
bluetooth            1060864  44 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
snd_hda_codec         212992  4 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_realtek
asus_wmi               86016  1 asus_nb_wmi
cfg80211             1363968  4 mt76,mac80211,mt7921_common,mt76_connac_lib
fat                   102400  1 vfat
mc                     94208  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
snd_pci_acp5x          16384  0
snd_hda_core          143360  5 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek
sparse_keymap          12288  1 asus_wmi
kvm                  1359872  1 kvm_amd
platform_profile       12288  1 asus_wmi
snd_hwdep              16384  1 snd_hda_codec
ee1004                 16384  0
snd_pcm               188416  13 snd_sof_amd_acp,snd_hda_codec_hdmi,snd_pci_acp6x,snd_hda_intel,snd_hda_codec,snd_sof,snd_compress,snd_soc_core,snd_sof_utils,snd_hda_core,snd_pci_ps,snd_pcm_dmaengine
wmi_bmof               12288  0
ucsi_acpi              12288  0
snd_rn_pci_acp3x       20480  0
typec_ucsi             69632  1 ucsi_acpi
snd_timer              53248  1 snd_pcm
ccp                   155648  1 kvm_amd
